bookID,title,authors,average_rating
1,Harry Potter and the Half-Blood Prince (Harry Potter  #6),J.K. Rowling/Mary GrandPré,4.57
2,Harry Potter and the Order of the Phoenix (Harry Potter  #5),J.K. Rowling/Mary GrandPré,4.49
4,Harry Potter and the Chamber of Secrets (Harry Potter  #2),J.K. Rowling,4.42
5,Harry Potter and the Prisoner of Azkaban (Harry Potter  #3),J.K. Rowling/Mary GrandPré,4.56
8,Harry Potter Boxed Set  Books 1-5 (Harry Potter  #1-5),J.K. Rowling/Mary GrandPré,4.78
9,"Unauthorized Harry Potter Book Seven News: ""Half-Blood Prince"" Analysis and Speculation",W. Frederick Zimmerman,3.74
10,Harry Potter Collection (Harry Potter  #1-6),J.K. Rowling,4.73
12,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
13,The Ultimate Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
14,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams,4.22
16,The Hitchhiker's Guide to the Galaxy (Hitchhiker's Guide to the Galaxy  #1),Douglas Adams/Stephen Fry,4.22
18,The Ultimate Hitchhiker's Guide (Hitchhiker's Guide to the Galaxy  #1-5),Douglas Adams,4.38
21,A Short History of Nearly Everything,Bill Bryson,4.21
22,Bill Bryson's African Diary,Bill Bryson,3.44
23,Bryson's Dictionary of Troublesome Words: A Writer's Guide to Getting It Right,Bill Bryson,3.87
24,In a Sunburned Country,Bill Bryson,4.07
25,I'm a Stranger Here Myself: Notes on Returning to America After Twenty Years Away,Bill Bryson,3.9
26,The Lost Continent: Travels in Small Town America,Bill Bryson,3.83
27,Neither Here nor There: Travels in Europe,Bill Bryson,3.86
28,Notes from a Small Island,Bill Bryson,3.91
29,The Mother Tongue: English and How It Got That Way,Bill Bryson,3.93
30,J.R.R. Tolkien 4-Book Boxed Set: The Hobbit and The Lord of the Rings,J.R.R. Tolkien,4.59
31,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien,4.5
34,The Fellowship of the Ring (The Lord of the Rings  #1),J.R.R. Tolkien,4.36
35,The Lord of the Rings (The Lord of the Rings  #1-3),J.R.R. Tolkien/Alan  Lee,4.5
36,The Lord of the Rings: Weapons and Warfare,Chris   Smith/Christopher  Lee/Richard Taylor,4.53
37,The Lord of the Rings: Complete Visual Companion,Jude Fisher,4.5
45,Agile Web Development with Rails: A Pragmatic Guide,Dave Thomas/David Heinemeier Hansson/Leon Breedt/Mike Clark/Thomas  Fuchs/Andreas  Schwarz,3.84
50,Hatchet (Brian's Saga  #1),Gary Paulsen,3.72
51,"Hatchet: A Guide for Using ""Hatchet"" in the Classroom",Donna Ickes/Edward Sciranko/Keith Vasconcelles,4.0
53,Guts: The True Stories behind Hatchet and the Brian Books,Gary Paulsen,3.88
54,Molly Hatchet - 5 of the Best,Molly Hatchet,4.33
55,Hatchet Jobs: Writings on Contemporary Fiction,Dale Peck,3.45
57,A Changeling for All Seasons (Changeling Seasons #1),Angela Knight/Sahara Kelly/Judy Mays/Marteeka Karland/Kate Douglas/Shelby Morgen/Lacey Savage/Kate Hill/Willa Okati,3.76
58,Changeling (Changeling  #1),Delia Sherman,3.6
59,The Changeling Sea,Patricia A. McKillip,4.06
61,The Changeling,Zilpha Keatley Snyder,4.17
63,The Changeling,Kate Horsley,3.55
66,The Changeling (Daughters of England  #15),Philippa Carr,3.98
67,The Known World,Edward P. Jones,3.83
68,The Known World,Edward P. Jones/Kevin R. Free,3.83
69,The Known World,Edward P. Jones,3.83
71,Traders  Guns & Money: Knowns and Unknowns in the Dazzling World of Derivatives,Satyajit Das,3.83
72,Artesia: Adventures in the Known World,Mark Smylie,4.13
74,The John McPhee Reader (John McPhee Reader  #1),John McPhee/William Howarth,4.42
75,Uncommon Carriers,John McPhee,3.95
76,Heirs of General Practice,John McPhee,4.17
77,The Control of Nature,John McPhee,4.24
78,Annals of the Former World,John McPhee,4.34
79,Coming Into the Country,John McPhee,4.22
80,La Place de la Concorde Suisse,John McPhee,3.92
81,Giving Good Weight,John McPhee,4.23
83,Rising from the Plains,John McPhee,4.23
85,The Heidi Chronicles,Wendy Wasserstein,3.75
86,The Heidi Chronicles: Uncommon Women and Others & Isn't It Romantic,Wendy Wasserstein,3.84
89,Active Literacy Across the Curriculum: Strategies for Reading  Writing  Speaking  and Listening,Heidi Hayes Jacobs,3.94
90,Simply Beautiful Beaded Jewelry,Heidi Boyd,3.77
91,Always Enough: God's Miraculous Provision Among the Poorest Children on Earth,Heidi Baker/Rolland Baker,4.46
92,Mapping the Big Picture: Integrating Curriculum & Assessment K-12,Heidi Hayes Jacobs,3.68
93,Heidi (Heidi  #1-2),Johanna Spyri/Beverly Cleary/Angelo  Rinaldi,3.99
94,Getting Results with Curriculum Mapping,Heidi Hayes Jacobs,3.25
96,There's Always Enough: The Miraculous Move of God in Mozambique,Rolland Baker/Heidi Baker,4.46
98,What to Expect the First Year (What to Expect),Heidi Murkoff/Sharon Mazel/Arlene Eisenberg/Sandee Hathaway/Mark D. Widome,3.89
99,The Player's Handbook: The Ultimate Guide on Dating and Relationships,Heidi Fleiss/Libby Keatinge,3.82
100,Simply Beautiful Beading: 53 Quick and Easy Projects,Heidi Boyd,3.78
103,God Emperor of Dune (Dune Chronicles  #4),Frank Herbert,3.84
105,Chapterhouse: Dune (Dune Chronicles #6),Frank Herbert,3.91
106,Dune Messiah (Dune Chronicles #2),Frank Herbert,3.88
107,Dreamer of Dune: The Biography of Frank Herbert,Brian Herbert,4.01
109,Heretics of Dune (Dune Chronicles  #5),Frank Herbert,3.86
110,The Road to Dune,Frank Herbert/Brian Herbert/Kevin J. Anderson,3.88
117,Heretics of Dune (Dune Chronicles #5),Frank Herbert,3.86
119,The Lord of the Rings: The Art of the Fellowship of the Ring,Gary Russell,4.59
122,The Power of One (The Power of One  #1),Bryce Courtenay,4.35
123,The Power of One (The Power of One  #1),Bryce Courtenay,4.35
129,The Power of One: One Person  One Rule  One Month,John C. Maxwell/Stephen R. Graves/Thomas G. Addington,4.28
130,Power of an Hour: Business and Life Mastery in One Hour a Week,Dave Lakhani,3.34
131,The Power of One: The Solo Play for Playwrights  Actors  and Directors,Louis E. Catron,3.67
132,How to Buy  Sell & Profit on eBay: Kick-Start Your Home-Based Business in Just Thirty Days,Adam Ginsberg,3.48
133,eBay for Dummies,Marsha Collier,3.5
135,What to Sell on ebay and Where to Get It: The Definitive Guide to Product Sourcing for eBay and Beyond,Chris Malta/Lisa Suttora,3.62
137,Starting an eBay Business for Dummies,Marsha Collier,3.55
138,eBay: Top 100 Simplified Tips & Tricks,Julia Wilkinson,4.27
139,ebay Timesaving Techniques for Dummies,Marsha Collier,3.39
140,eBay Business All-in-One Desk Reference for Dummies,Marsha Collier,3.89
141,Ruby Cookbook,Lucas Carlson/Leonard Richardson,3.84
142,Ruby Ann's Down Home Trailer Park Cookbook,Ruby Ann Boxcar,4.12
144,Ruby Ann's Down Home Trailer Park BBQin' Cookbook,Ruby Ann Boxcar,4.08
147,Rails Cookbook: Recipes for Rapid Web Development with Ruby,Rob Orsini,3.48
151,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky,4.05
152,Anna Karenina,Leo Tolstoy/David Magarshack/Priscilla Meyer,4.05
153,Anna Karenina,Leo Tolstoy/Richard Pevear/Larissa Volokhonsky/John Bayley,4.05
154,CliffsNotes on Tolstoy's Anna Karenina,Marianne Sturman/Leo Tolstoy,3.85
155,Anna Karenina,Leo Tolstoy/Amy Mandelker/Constance Garnett,4.05
156,Anna Karenina,Leo Tolstoy/Louise Maude/Aylmer Maude,4.05
157,Anna Karenina,Leo Tolstoy/Constance Garnett/Amy Mandelker,4.05
159,Dinner with Anna Karenina,Gloria Goldreich,2.99
160,Tolstoy: Anna Karenina,Anthony Thorlby,4.19
162,Untouchable,Mulk Raj Anand/E.M. Forster,3.71
163,The Untouchable,John Banville,3.95
164,The Untouchables,Eliot Ness/Oscar Fraley,3.89
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India,Narendra Jadhav,3.82
166,Dalit: The Black Untaouchables of India,V.T. Rajshekar/Y.N. Kly,4.2
168,Growing Up Untouchable in India: A Dalit Autobiography,Vasant Moon/Gail Omvedt/Eleanor Zelliot,3.65
171,The Evidence-Based Social Work Skills Book,Barry R. Cournoyer,3.4
177,"A Wrinkle in Time: A Guide for Using ""A Wrinkle in Time"" in the Classroom",John Carratello/Patty Carratello/Theresa Wright,4.0
180,Wrinkles in Time,George Smoot/Keay Davidson,4.01
181,A Wrinkle in Time: With Related Readings (A Wrinkle in Time Quintet #1),Madeleine L'Engle,4.0
182,Literature Circle Guide: A Wrinkle in Time,Tara MacCarthy,3.6
201,Una arruga en el tiempo – A Wrinkle in Time,Madeleine L'Engle,4.0
204,The Long Shadow (The Morland Dynasty  #6),Cynthia Harrod-Eagles,4.12
205,A Long Shadow (Inspector Ian Rutledge  #8),Charles Todd,4.11
207,Long Way Round: Chasing Shadows Across the World,Ewan McGregor/Charley Boorman/Robert Uhlig,3.94
208,A Shadow in Summer (Long Price Quartet  #1),Daniel Abraham,3.6
213,New Hope for the Dead (Hoke Mosely #2),Charles Willeford/James Lee Burke,3.9
214,Sideswipe: A Hoke Moseley Novel,Charles Willeford/Lawrence Block,4.05
216,Miami Blues (Hoke Moseley #1),Charles Willeford/Elmore Leonard,3.94
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard),Charles Willeford,3.89
231,I am Charlotte Simmons,Tom Wolfe,3.42
237,Poetry for Young People: Edward Lear,Edward Lear/Laura Huliska-Beith/Edward Mendelson,3.91
244,The Puffin Book of Nonsense Verse,Quentin Blake,4.02
245,Henry Miller on Writing,Henry Miller/Thomas H. Moore,4.22
247,Quiet Days in Clichy,Henry Miller,3.69
249,Tropic of Cancer,Henry Miller/Jiří Níl,3.68
250,Tropic of Capricorn,Henry Miller,3.78
251,Nexus (The Rosy Crucifixion  #3),Henry Miller,4.1
252,Sexus (The Rosy Crucifixion  #1),Henry Miller,3.98
253,The Air-Conditioned Nightmare,Henry Miller,3.83
264,The Portrait of a Lady,Henry James/Patricia Crick,3.78
269,The Portrait of a Lady,Henry James/Gabriel Brownstein/Mary Cregan,3.78
277,Writing,Marguerite Duras,3.75
278,The War,Marguerite Duras/Barbara Bray,3.85
280,The Ravishing of Lol Stein,Marguerite Duras/Richard Seever,3.66
285,Love Letters,Kahlil Gibran/Suheil Bushrui/Salma H. Al-Kuzbari,3.68
288,Kahlil Gibran: His Life and World,Jean Gibran/جبران خليل جبران/Kahlil Gibran,4.21
289,The Beloved: Reflections on the Path of the Heart,Kahlil Gibran/John Walbridge/Robin Waterfield,4.19
290,Jesus the Son of Man,Kahlil Gibran/جبران خليل جبران,3.98
291,The Broken Wings,Kahlil Gibran/جبران خليل جبران/Anthony Rizcallah Ferris,3.92
292,Sand and Foam,Kahlil Gibran/جبران خليل جبران,4.08
295,Treasure Island,Robert Louis Stevenson,3.83
296,Treasure Island,Robert Louis Stevenson/Scott McKowen,3.83
297,Treasure Island,Robert Louis Stevenson,3.83
298,Treasure Island,Robert Louis Stevenson/N.C. Wyeth/Timothy Meis,3.83
299,Treasure Island,Robert Louis Stevenson/Milo Winter,3.83
302,Treasure Island (Great Illustrated Classics),Deidre S. Laiken/A.J. McAllister/Robert Louis Stevenson,4.05
313,100 Years of Lynchings,Ralph Ginzburg,4.61
324,Cien años de soledad,Gabriel García Márquez,4.07
330,On Beyond Zebra!,Dr. Seuss,4.04
332,The Wedding Clause,Debbie Raleigh,3.6
333,The Zebra Wall,Kevin Henkes,3.44
337,El perfume: Historia de un asesino,Patrick Süskind,4.02
348,The Door Into Summer,Robert A. Heinlein,4.01
350,Stranger in a Strange Land,Robert A. Heinlein,3.92
354,To Sail Beyond the Sunset,Robert A. Heinlein,3.87
355,Job: A Comedy of Justice,Robert A. Heinlein,3.78
356,Time for the Stars (Heinlein's Juveniles  #10),Robert A. Heinlein,3.97
357,The Long Dark Tea-Time of the Soul (Dirk Gently  #2),Douglas Adams,4.06
359,The Salmon of Doubt (Dirk Gently  #3),Douglas Adams,3.93
362,Wish You Were Here: The Official Biography of Douglas Adams,Nick  Webb,4.14
367,Douglas Adams's Starship Titanic,Terry Jones,3.6
377,Salmon of Doubt: Hitchhiking the Galaxy One Last Time,Douglas Adams/Christopher Cerf,3.93
382,The Phantom Tollbooth: A Children's Play in Two Acts,Susan Nanus/Norton Juster,4.13
385,On Bullshit,Harry G. Frankfurt,3.57
386,Another Bullshit Night in Suck City,Nick Flynn,3.78
394,Lincoln at Gettysburg: The Words That Remade America,Garry Wills,4.14
397,The Gettysburg Address,Abraham Lincoln/Michael McCurdy,4.53
399,Underworld,Don DeLillo,3.92
400,Libra,Don DeLillo,3.99
403,Americana,Don DeLillo,3.43
404,Running Dog,Don DeLillo,3.43
406,Cosmopolis,Don DeLillo,3.22
407,Great Jones Street,Don DeLillo,3.48
408,The Names,Don DeLillo,3.64
409,Against the Day,Thomas Pynchon,4.13
410,V.,Thomas Pynchon,3.96
411,The Crying of Lot 49,Thomas Pynchon,3.69
412,Gravity's Rainbow,Thomas Pynchon,4.01
413,Mason & Dixon,Thomas Pynchon/Christophe Claro/Brice Matthieussent,4.07
414,Vineland,Thomas Pynchon,3.69
415,Gravity's Rainbow,Thomas Pynchon,4.01
416,Slow Learner: Early Stories,Thomas Pynchon,3.5
418,Been Down So Long It Looks Like Up To Me,Richard Fariña/Thomas Pynchon,3.8
420,The Year of Magical Thinking,Joan Didion,3.89
421,The White Album,Joan Didion,4.17
422,A Book of Common Prayer,Joan Didion,3.8
423,Where I Was From,Joan Didion,3.86
424,Slouching Towards Bethlehem,Joan Didion,4.21
425,Democracy,Joan Didion,3.81
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction,Joan Didion/John Leonard,4.5
428,Play It As It Lays,Joan Didion/David Thomson,3.87
431,The New York Trilogy,Paul Auster/Art Spiegelman/Luc Sante,3.89
432,City of Glass (The New York Trilogy  #1),Paul Auster,3.79
434,Ghosts (The New York Trilogy  #2),Paul Auster,3.64
435,The Locked Room (The New York Trilogy  #3),Paul Auster,3.89
444,Pyramids of Montauk: Explorations in Consciousness,Peter Moon/Preston B. Nichols/Nina Helms,3.89
446,The Brooklyn Follies,Paul Auster,3.84
447,Moon Palace,Paul Auster,3.94
453,The Music of Chance,Paul Auster,3.9
454,Travels in the Scriptorium,Paul Auster,3.23
456,Leviathan,Paul Auster,3.96
463,The Red Notebook: True Stories,Paul Auster,3.77
466,Timbuktu / Leviathan / Moon Palace,Paul Auster,4.38
475,Collapse: How Societies Choose to Fail or Succeed,Jared Diamond,3.93
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel,Stephen Leeb/Glen C. Strathy,3.4
477,Collapse of Complex Societies,Joseph A. Tainter,4.15
478,Bowling Alone: The Collapse and Revival of American Community,Robert D. Putnam,3.8
481,The Collapse of the Common Good: How America's Lawsuit Culture Undermines Our Freedom,Philip K. Howard,3.91
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America,Joy Harjo/Gloria Bird/Beth Cuthand/Valerie Martinez/Patricia Blanco,4.39
493,My Inventions,Nikola Tesla,4.01
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius,Marc J.  Seifer/William H. Terbo,3.78
497,Nikola Tesla: A Spark of Genius,Carol Dommermuth-Costa,3.93
498,Tesla Papers,Nikola Tesla/David Hatcher Childress,4.13
511,Boys of Summer,Julie Elizabeth Leto/Leslie Kelly/Kimberly Raye,3.77
515,Programming Ruby: The Pragmatic Programmers' Guide,Dave Thomas/Chad Fowler/Andy Hunt,4.03
523,Golding's Lord of the Flies (Cliffs Notes),Maureen Kelly/CliffsNotes/William Golding,3.95
524,Lord of the Flies,William Golding,3.68
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War,Victor Davis Hanson,4.11
534,We Were Not Like Other People,Ephraim Sevela/Antonina W. Bouis,4.14
537,The Lovely Bones,Alice Sebold,3.81
538,The Lovely Bones,Alice Sebold,3.81
539,Lovely in Her Bones (Elizabeth MacPherson  #2),Sharyn McCrumb,3.8
565,The Zen of CSS Design: Visual Enlightenment for the Web,Dave Shea/Molly E. Holzschlag,3.98
570,HTML  XHTML  and CSS (Visual Quickstart Guide),Elizabeth Castro,3.8
576,1000 Record Covers,Michael Ochs/Patrick Javault/Ulrike Wasel,3.85
597,Killing Yourself to Live: 85% of a True Story,Chuck Klosterman,3.81
599,Sex  Drugs  and Cocoa Puffs: A Low Culture Manifesto,Chuck Klosterman,3.73
